AMR
"(d / dismiss-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Trump""))
      :ARG1 (q / question-01
            :ARG1 (t / thing
                  :ARG2-of (p2 / price-01
                        :ARG1 (o / oil))))
      :time (p3 / possible-01
            :polarity -
            :ARG1 (n2 / name-01
                  :ARG0 (p4 / person
                        :ARG0-of (r / report-01))
                  :ARG1 (t2 / thing
                        :ARG2-of (p5 / price-01))
                  :medium (t3 / tweet-01)))
      :medium (t4 / tweet-01))"
"(p / possible-01
      :ARG1 (b / buy-01
            :ARG0 (p2 / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (g / government-organization
                              :name (n / name
                                    :op1 ""NHS""))
                        :ARG2 (s / staff)))
            :ARG1 (f / food)
            :ARG1-of (c / cause-01
                  :ARG0 (b2 / buy-01
                        :manner (p3 / panic-01))))
      :polarity (a / amr-unknown))"
"(a / announce-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Amazon""))
      :ARG1 (p / plan-01
            :ARG0 c
            :ARG1 (a2 / add-02
                  :ARG0 c
                  :ARG1 (a3 / and
                        :quant 100000
                        :op1 (p2 / position
                              :mod (f / full-time))
                        :op2 (p3 / position
                              :mod (p4 / part-time)))
                  :location (a4 / across
                        :op1 (c2 / country
                              :name (n2 / name
                                    :op1 ""US"")))
                  :purpose (k / keep-up-05
                        :ARG0 c
                        :ARG1 (ii / increase-01
                              :ARG1 (a5 / and
                                    :op1 (c3 / commerce)
                                    :op2 (s / shop-01
                                          :medium (o / online)))
                              :manner (r / rapid))
                        :ARG1-of (c4 / cause-01
                              :ARG0 (l / limit-01
                                    :ARG0 (c5 / coronavirus)))))))"
"(o / or
      :op1 (s / shame
            :domain (p / possible-01
                  :polarity -
                  :ARG1 (h / help-01
                        :ARG0 (s2 / shelf
                              :mod (f / food)
                              :location (s3 / state
                                    :name (n / name
                                          :op1 ""Minnesota"")))
                        :ARG1 (w / waste-01
                              :mod (t / this)))))
      :op2 (p2 / possible-01
            :ARG1 h))"
"(s / scrutinize-01
      :ARG0 (g / government-organization
            :name (n / name
                  :op1 ""US""
                  :op2 ""Senate""))
      :ARG1 (u / use-01
            :ARG0 g
            :ARG1 (k / know-01
                  :ARG0 g
                  :ARG1 (c / crisis
                        :mod (c2 / coronavirus)
                        :ARG1-of (ii / impend-01))
                  :mod (ii2 / insider))
            :ARG2 (s2 / sell-01
                  :ARG0 g
                  :ARG1 (s3 / share)
                  :time (b / before
                        :op1 (p / plummet-01
                              :ARG1 (t / thing
                                    :ARG2-of (p2 / price-01)))))
            :ARG1-of (a / allege-01)))"
"(f / force-01
      :ARG0 (o / outbreak-29
            :ARG1 (c / coronavirus))
      :ARG1 (p / person
            :ARG0-of (a / administrate-01))
      :ARG2 (a2 / act-02
            :ARG0 p
            :time (b / before
                  :op1 (e / expect-01))))"
"(t / talk-01
      :ARG0 (w / we)
      :ARG1 (a / and
            :op1 (a2 / and
                  :op1 (s / store
                        :mod (g / grocery)
                        :mod (l / last))
                  :op2 (r / restrict-01
                        :ARG1 (o / outdoor)))
            :op2 (s2 / stream-03
                  :ARG2 (p / publication
                        :name (n / name
                              :op1 ""MetOpera""))
                  :frequency (r2 / rate-entity-91
                        :ARG3 (t2 / temporal-quantity
                              :quant 1
                              :unit (d / day))))
            :op3 (b / broadcast-01
                  :ARG2 (p2 / publication
                        :name (n2 / name
                              :op1 ""TheTorontoZoo""))
                  :manner (l2 / live))
            :op4 (b2 / broadcast-program
                  :name (n3 / name
                        :op1 ""TigerKing"")
                  :medium (c / company
                        :name (n4 / name
                              :op1 ""Netflix""))))
      :time (c2 / check-in-02
            :ARG0 w
            :mod (t3 / this)
            :frequency r2
            :ARG3 t2
            :quant 1
            :unit (w2 / week)))"
"(a / and
      :op1 (m / make-01
            :ARG0 (c / company
                  :name (n / name
