OriginalTweet,Sentiment,processed tweet,AMR
"It's shaping out to be a rough few years for Nebraska cattle producers Â 2019 floods caused cattle deaths and increased production costs. Now 2020 shows lower cattle prices, feed and expenses are up, property taxes have mostly risen. And now COVID-19.
https://t.co/gzmOMY0nS0",Neutral,"It has been and will continue to be a tough few years for Nebraska cattle producers. In 2019, floods caused cattle deaths and increased production costs. Now in 2020, cattle prices are lower, feed and expenses are up, and property taxes have mostly risen. And now there is CO","(m / multi-sentence
      :snt1 (t / turn-out-11
            :ARG1 (f / few
                  :op1 (t2 / temporal-quantity
                        :quant 1
                        :unit (y / year))
                  :ARG1-of (r / rough-04))
            :ARG2 (p / person
                  :ARG0-of (p2 / produce-01
                        :ARG1 (c / cattle))
                  :location (s / state
                        :name (n / name
                              :op1 ""Nebraska""))))
      :snt2 (a / and
            :op1 (c2 / cause-01
                  :ARG0 (f2 / flood-01
                        :time (d / date-entity
                              :year 2019))
                  :ARG1 (a2 / and
                        :op1 (d2 / die-01
                              :ARG1 (c3 / cattle))
                        :op2 (c4 / cost-01
                              :ARG1 p2)
                        :ARG1-of (ii / increase-01))))
      :op2 (s2 / show-01
            :ARG0 (d3 / date-entity
                  :year 2020)
            :ARG1 (a3 / and
                  :op1 (p3 / price-01
                        :ARG1 (c5 / cattle)
                        :ARG1-of (h / have-degree-91
                              :ARG2 (l / low-04
                                    :ARG1 p3)
                              :ARG3 (m2 / more)))
                  :op2 (u / up-02
                        :ARG1 (a4 / and
                              :op1 (f3 / feed-01)
                              :op2 (e / expend-01)))
                  :op3 (r2 / rise-01
                        :ARG1 (t3 / tax-01
                              :ARG3 (p4 / property))
                        :mod (m3 / most)))
            :time (n2 / now))
      :snt3 (a5 / and
            :op2 (l2 / law
                  :name (n3 / name
                        :op1 ""COVID-19"")
                  :time (n4 / now)))
      :snt4 (p5 / publication
            :name (n5 / name
                  :op1 ""https://t.co/gzmOMY0nS0"")))"
"I started the #COVID19 Health Literacy Project to make sure no one is left on the sidelines of this pandemic.

Excited to share the first product of this massive cross-institutional collaboration. These are being translated into 37 languages.

See more: https://t.co/MoUm1JWzdm https://t.co/h3cKx4WaiH",Positive,I started the #COVID19 Health Literacy Project to make sure no one is left on the sidelines of this pandemic.,"(m / multi-sentence
      :snt1 (s / start-01
            :ARG0 (ii / i)
            :ARG1 (p / project
                  :name (n / name
                        :op1 ""COVID19""
                        :op2 ""Health""
                        :op3 ""Literacy""
                        :op4 ""Project""))
            :purpose (e / ensure-01
                  :ARG0 ii
                  :ARG1 (l / leave-12
                        :polarity -
                        :ARG1 (n2 / no-one)
                        :ARG2 (s2 / sideline
                              :poss (p2 / pandemic
                                    :mod (t / this))))))
      :snt2 (a / and
            :op1 (d / denounce-01
                  :ARG0 ii)
            :ARG1 (r / religious-group
                  :name (n3 / name
                        :op1 ""Christianity"")))
      :op2 (d2 / denounce-01
            :ARG0 ii
            :ARG1 r)
      :snt3 (t2 / translate-01
            :ARG1 (t3 / this)
            :ARG2 (l2 / language
                  :quant 37)))"
"Wash your hands with soap and water for at least 20 seconds especially after you have been in a public place, or after blowing your nose, coughing, or sneezing

If soap and water arenÂt available, use hand sanitizer that contains at least 60% alcohol

#coronavirus #COVID2019 https://t.co/C9BRKMmhDP",Positive,"Wash your hands with soap and water for at least 20 seconds, especially after you have been in a public place or after blowing your nose, coughing, or sneezing.","(m / multi-sentence
      :snt1 (w / wash-01
            :mode imperative
            :ARG0 (y / you
                  :part (h / hand))
            :ARG1 h
            :ARG2 (a / and
                  :op1 (s / soap)
                  :op2 (w2 / water))
            :duration (a2 / at-least
                  :op1 (t / temporal-quantity
                        :quant 20
                        :unit (s2 / second)))
            :time (o / or
                  :op1 (a3 / after
                        :op1 (b / be-located-at-91
                              :ARG1 y
                              :ARG2 (p / place
                                    :ARG1-of (p2 / public-02)))
                        :mod (e / especially))
                  :op2 (a4 / after
                        :op1 (o2 / or
                              :op1 (b2 / blow-01
                                    :ARG0 y
                                    :ARG2 (n / nose))
                              :op2 (c / cough-01
                                    :ARG0 y)
                              :op3 (s3 / sneeze-01
                                    :ARG0 y)))))
      :snt2 (u / use-01
            :mode imperative
            :ARG0 y
            :ARG1 (p3 / product
                  :ARG0-of (s4 / sanitize-01
                        :ARG1 h)
                  :ARG0-of (c2 / contain-01
                        :ARG1 (a5 / alcohol
                              :quant (a6 / at-least
                                    :op1 (p4 / percentage-entity
                                          :value 60)))))
            :condition (a7 / available-02
                  :polarity -
                  :ARG2 (a8 / and
                        :op1 s
                        :op2 w2))))"
OPEC and allies agreed to a record cut of almost 10 million barrels per day in oil output to stabilize oil prices amid the pandemic and a price war,Negative,OPEC and allies agreed to a record cut of almost 10 million barrels per day in oil output in order to stabilize oil prices amid the pandemic and a price war.,"(a / agree-01
      :ARG0 (a2 / and
            :op1 (o / organization
                  :name (n / name
                        :op1 ""OPEC""))
            :op2 (a3 / ally-01
                  :ARG2 o))
      :ARG1 (c / cut-02
            :ARG1 (o2 / output
                  :mod (o3 / oil))
            :ARG2 (r / rate-entity-91
                  :ARG1 (a4 / almost
                        :op1 (v / volume-quantity
                              :quant 10000000
                              :unit (b / barrel)))
                  :ARG2 (t / temporal-quantity
                        :quant 1
                        :unit (d / day)))
            :mod (r2 / record))
      :purpose (s / stabilize-01
            :ARG0 a2
            :ARG1 (p / price-01
                  :ARG1 o3)
            :time (a5 / and
                  :op1 (p2 / pandemic)
                  :op2 (w / war-01
                        :ARG2 (p3 / price-01)))))"
"Trump: I have great news!

US: #coronavirus vaccine?

Trump: No. Higher oil prices.",Positive,,"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Trump""))
            :ARG1 (h / have-03
                  :ARG0 p
                  :ARG1 (n2 / news
                        :mod (g / great))))
      :snt2 (s2 / say-01
            :ARG0 (p2 / person
                  :name (n3 / name
                        :op1 ""US""))
            :ARG1 (v / vaccine
                  :mod (v2 / virus)
                  :mod (c / coronavirus))
            :polarity (a / amr-unknown))
      :snt3 (s3 / say-01
            :ARG0 (p3 / person
                  :name (n4 / name
                        :op1 ""Trump""))
            :ARG1 (n5 / no))
      :snt4 (h2 / have-degree-91
            :ARG1 (p4 / price-01
                  :ARG1 (o / oil))
            :ARG2 (h3 / high-02
                  :ARG1 p4)
            :ARG3 (m2 / more)))"
Cuomo lied Cuomo s Prison Workers Say They re Not Actually Making Hand Sanitizer they are doing nothing more than taking existing hand sanitizer and rebottling it into packaging labeled NYS Clean,Negative,".Cuomo's prison workers say they're not actually making hand sanitizer, they're just taking existing hand sanitizer and rebottling it into packaging labeled NYS Clean.","(l / lie-08
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Cuomo""))
      :ARG1 (s / say-01
            :ARG0 (p2 / person
                  :ARG0-of (w / work-01
                        :ARG2 (p3 / prison))
                  :poss p)
            :ARG1 (m / make-01
                  :polarity -
                  :ARG0 p2
                  :ARG1 (t / thing
                        :ARG0-of (s2 / sanitize-01
                              :ARG1 (h / hand)))
                  :ARG1-of (a / actual-02)
                  :ARG1-of (m2 / mean-01
                        :ARG2 (d / do-02
                              :ARG0 p2
                              :ARG1 (a2 / and
                                    :op1 (t2 / take-01
                                          :ARG0 p2
                                          :ARG1 (t3 / thing
                                                :ARG0-of (s3 / sanitize-01
                                                      :ARG1 (h2 / hand))
                                                :ARG1-of (e / exist-01)))
                                    :op2 (r / rebottle-01
                                          :ARG0 p2
                                          :ARG1 t3
                                          :destination (t4 / thing
                                                :ARG2-of (p4 / package-01)
                                                :ARG1-of (l2 / label-01
                                                      :ARG2 (p5 / product
                                                            :name (n2 / name
                                                                  :op1 ""NYS""
                                                                  :op2 ""Clean"")))))))))))"
Coal remains the biggest consumer of water in South Africa it guzzles 10 000 litres of water every second Coal compromises our water it compromises our air and it compromises our humanity gt gt,Positive, Coal is the biggest consumer of water in South Africa it guzzles 10 000 litres of water every second,"(m / multi-sentence
      :snt1 (r / remain-01
            :ARG1 (c / coal)
            :ARG3 (h / have-degree-91
                  :ARG1 c
                  :ARG2 (b / big)
                  :ARG3 (m2 / most)
                  :ARG5 (c2 / consume-01
                        :ARG0 c
                        :ARG1 (w / water)
                        :location (c3 / country
                              :name (n / name
                                    :op1 ""South""
                                    :op2 ""Africa"")))))
      :snt2 (g / guzzle-01
            :ARG0 (c4 / coal)
            :ARG1 (w2 / water
                  :quant (v / volume-quantity
                        :quant 10000
                        :unit (l / liter)))
            :frequency (r2 / rate-entity-91
                  :ARG3 (t / temporal-quantity
                        :quant 1
                        :unit (s / second))))
      :snt3 (a / and
            :op1 (c5 / compromise-02
                  :ARG0 (c6 / coal)
                  :ARG1 (w3 / water
                        :poss (w4 / we)))
            :op2 (c7 / compromise-02
                  :ARG0 c6
                  :ARG1 (a2 / air
                        :poss w4))
            :op3 (c8 / compromise-02
                  :ARG0 c6
                  :ARG1 (h2 / humanity
                        :poss w4))))"
"We can't feed the nation without you! 

If you have been impacted due to the current events, or youÂre looking for short term work, we have opportunities for you! 

Apply now: https://t.co/RoKKPgobpf 

 #Hiring #NIJobs https://t.co/MT6Hd1OcuF",Positive,We need your help to feed the nation!,"(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (f / feed-01
                  :ARG0 (w / we)
                  :ARG2 (n / nation)
                  :manner (a / accompany-01
                        :polarity -
                        :ARG0 (y / you))))
      :snt2 (h / have-condition-91
            :ARG1 (h2 / have-03
                  :ARG0 (w2 / we)
                  :ARG1 (o / opportunity
                        :beneficiary (y2 / you)))
            :ARG2 (o2 / or
                  :op1 (ii / impact-01
                        :ARG0 (e / event
                              :mod (c / current))
                        :ARG1 y2)
                  :op2 (l / look-01
                        :ARG0 y2
                        :ARG1 (w3 / work-01
                              :ARG0 y2
                              :duration (t / term
                                    :ARG1-of (s / short-07))))))
      :snt3 (a2 / apply-01
            :time (n2 / now)
            :medium (u / url-entity
                  :value ""https://t.co/MT6Hd1OcuF"")))"
Instead of the @NoradSanta tracker we need a toilet paper tracker. #toiletpaper #COVID?19 #coronavirus #StayAtHome,Neutral,We need a toilet paper tracker instead of the @NoradSanta tracker.,"(m / multi-sentence
      :snt1 (n / need-01
            :ARG0 (w / we)
            :ARG1 (t / thing
                  :ARG0-of (t2 / track-01
                        :ARG1 (p / paper
                              :purpose (t3 / toilet))))
            :ARG1-of (ii / instead-of-91
                  :ARG2 (t4 / thing
                        :ARG0-of (t5 / track-01
                              :ARG1 (p2 / person
                                    :name (n2 / name
                                          :op1 ""NoradSanta""))))))
      :snt2 (s / string-entity
            :value ""toiletpaper #COVID?19"")
      :snt3 (v / virus
            :mod (c / coronavirus))
      :snt4 (s2 / stay-01
            :location (h / home)))"
@DunelmUK Do you think it's time to just do online shopping for now ? untill the risk of contamination with the Covid-19!!!!!!!!!!!!! we need to incourage people to do social distance and self isolation.,Negative,Do you think it would be best to only do online shopping for now in order to avoid contamination with Covid-19?,"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (t / think-01
                  :ARG0 (p / person
                        :name (n / name
                              :op1 ""DunelmUK""))
                  :ARG1 (t2 / time
                        :time-of (s2 / shop-01
                              :ARG0 p
                              :location (o / online)
                              :time (n2 / now)
                              :mod (j / just)))
                  :polarity (a / amr-unknown)
                  :time (u / until
                        :op1 (r / risk-01
                              :ARG2 (c / contaminate-01
                                    :ARG2 (p2 / product
                                          :name (n3 / name
                                                :op1 ""Covid-19""))))))
            :ARG2 p)
      :snt2 (n4 / need-01
            :ARG0 (w / we)
            :ARG1 (e / encourage-01
                  :ARG0 w
                  :ARG1 (p3 / person)
                  :ARG2 (d / do-02
                        :ARG0 p3
                        :ARG1 (a2 / and
                              :op1 (d2 / distance-01
                                    :ARG1 p3
                                    :ARG2 (s3 / society))
                              :op2 (ii2 / isolate-01
                                    :ARG1 p3
                                    :ARG2 p3))))))"
