OriginalTweet,Sentiment,processed tweet,AMR
"Signs you've been working non-stop covering #Covid_19:

Today I dreamt I found Dettol wipes hidden in the supermarket and that the S&amp;P 500 was above the 800$ mark ?.",Negative,You may be working too hard if you find yourself dreaming about cleaning products and stock market indexes.,"(p / possible-01
      :ARG1 (w / work-01
            :ARG0 (y / you)
            :ARG1-of (h / hard-02
                  :ARG2-of (h2 / have-degree-91
                        :ARG1 w
                        :ARG3 (t / too))))
      :condition (f / find-01
            :ARG0 y
            :ARG1 (d / dream-01
                  :ARG0 y
                  :ARG1 (a / and
                        :op1 (p2 / product
                              :purpose (c / clean-01))
                        :op2 (ii / index
                              :mod (m / market
                                    :mod (s / stock)))))))"
"Saudi Arabia acquired 8.2% stake of Carnival (approximately 43.5 million shares). The shares were at very low prices and since the beginning of the year the stock has lost 81% of the value since the #cruise industry is struggling with the #coronavirus. 
https://t.co/OHp4I5dq4v",Negative,Saudi Arabia acquired a 8.2% stake in Carnival (approximately 43.5 million shares). The shares were at very low prices and since the beginning of the year the stock has lost 81% of the value since the #cruise industry is struggling with the #coronav,"(m / multi-sentence
      :snt1 (a / acquire-01
            :ARG0 (c / country
                  :name (n / name
                        :op1 ""Saudi""
                        :op2 ""Arabia""))
            :ARG1 (s / stake
                  :mod (c2 / company
                        :name (n2 / name
                              :op1 ""Carnival""))
                  :quant (p / percentage-entity
                        :value 8.2)
                  :ARG1-of (m2 / mean-01
                        :ARG2 (a2 / approximately
                              :op1 (s2 / share-01
                                    :quant 43500000)))))
      :snt2 (a3 / and
            :op1 (p2 / price-01
                  :ARG1 (s3 / share-01)
                  :ARG2 (m3 / monetary-quantity
                        :ARG1-of (l / low-04
                              :degree (v / very))))
            :op2 (l2 / lose-02
                  :ARG0 (s4 / stock)
                  :ARG1 (p3 / percentage-entity
                        :value 81
                        :ARG3-of (ii / include-91
                              :ARG2 (v2 / value)))
                  :time (s5 / since
                        :op1 (b / begin-01
                              :ARG1 (y / year)))
                  :time (s6 / since
                        :op1 (s7 / struggle-02
                              :ARG0 (ii2 / industry
                                    :mod (c3 / cruise-01))
                              :ARG1 (c4 / company
                                    :name (n3 / name
                                          :op1 ""Coronav"")))))))"
Remembered to turn the calendar to April only to find that the only thing I have to look forward to this month is a supermarket delivery on the 15th #coronavirusuk #StayAtHome #StayHomeSaveLives #lockdownextension,Neutral,I remembered to turn the calendar to April only to find that the only thing I have to look forward to this month is a supermarket delivery on the 15th.,"(r / remember-01
      :ARG0 (ii / i)
      :ARG1 (t / turn-01
            :ARG0 ii
            :ARG1 (c / calendar)
            :ARG2 (d / date-entity
                  :month 4))
      :time-of (f / find-01
            :ARG0 ii
            :ARG1 (o / obligate-01
                  :ARG1 ii
                  :ARG2 (l / look-forward-03
                        :ARG0 ii
                        :ARG1 (d2 / deliver-01
                              :ARG1 (s / supermarket)
                              :ARG2 ii
                              :time (d3 / date-entity
                                    :day 15
                                    :month 4)
                              :mod (o2 / only))
                        :time (m / month
                              :mod (t2 / this))))
            :mod o2))"
"The govt of #Albania has required big businesses supplying food and drugs to keep reserves adequate for three months. #coronavirus #Covid19 #coronavirusalbania
https://t.co/h6vHDYRTJf",Positive,The Albanian government has required big businesses supplying food and drugs to keep reserves adequate for three months.,"(r / require-01
      :ARG0 (g / government-organization
            :ARG0-of (g2 / govern-01
                  :ARG1 (c / country
                        :name (n / name
                              :op1 ""Albania""))))
      :ARG1 (k / keep-01
            :ARG0 (b / business
                  :mod (b2 / big)
                  :ARG0-of (s / supply-01
                        :ARG1 (a / and
                              :op1 (f / food)
                              :op2 (d / drug))))
            :ARG1 (r2 / reserve-01
                  :mod (a2 / adequate
                        :duration (t / temporal-quantity
                              :quant 3
                              :unit (m / month)))))
      :ARG2 b)"
"Found this at @Target 

You see someone walking out with this- you know who to befriend...
#coronavirus #toiletpaper #ToiletPaperApocalypse #QuaratineLife https://t.co/cRqSGtp8D7",Neutral,I found this at Target.,"(f / find-01
      :ARG0 (ii / i)
      :ARG1 (t / this)
      :location (c / company
            :name (n / name
                  :op1 ""Target"")))"
"@kermydfrawg After leaving work (to the assurances that I do have more of a chance of having a job to go back to after this mess is over than dying of COVID-19, ie: a little over 1%) I managed to obtain two big bags of catfood from the busiest supermarket",Positive, in the areaI managed to obtain two big bags of catfood from the busiest supermarket in the area after leaving work.,"(m / manage-02
      :ARG0 (ii / i)
      :ARG1 (o / obtain-01
            :ARG0 ii
            :ARG1 (b / bag
                  :quant 2
                  :mod (b2 / big)
                  :consist-of (c / catfood))
            :ARG2 (s / supermarket
                  :location (a / area)
                  :ARG1-of (h / have-degree-91
                        :ARG2 (b3 / busy-01
                              :ARG1 s)
                        :ARG3 (m2 / most)))
            :time (a2 / after
                  :op1 (l / leave-11
                        :ARG0 ii
                        :ARG1 (w / work-01
                              :ARG0 ii)))))"
 Regardless of the situation our farmers are still farming Hens are still laying eggs turkeys and broilers need to be fed and every day Michigan s family poultry farmers are working together to supply consumers with healthy locally produced proteins  ,Positive,"Despite the situation, our farmers are still farming, hens are still laying eggs, turkeys and broilers need to be fed, and every day Michigan's family poultry farmers are working together to supply consumers with healthy, locally produced proteins.","(h / have-concession-91
      :ARG1 (a / and
            :op1 (f / farm-01
                  :ARG0 (p / person
                        :ARG0-of (f2 / farm-01)
                        :poss (w / we))
                  :mod (s / still))
            :op2 (l / lay-01
                  :ARG0 (h2 / hen)
                  :ARG1 (e / egg)
                  :mod (s2 / still))
            :op3 (n / need-01
                  :ARG0 (a2 / and
                        :op1 (t / turkey)
                        :op2 (b / broiler))
                  :ARG1 (f3 / feed-01
                        :ARG2 a2))
            :op4 (w2 / work-01
                  :ARG0 (p2 / person
                        :ARG0-of (f4 / farm-01
                              :ARG2 (p3 / poultry))
                        :mod (f5 / family)
                        :mod (s3 / state
                              :name (n2 / name
                                    :op1 ""Michigan"")))
                  :ARG1 (s4 / supply-01
                        :ARG0 p2
                        :ARG1 (p4 / protein
                              :ARG1-of (p5 / produce-01
                                    :ARG1-of (l2 / local-02))
                              :mod (h3 / health))
                        :ARG2 (p6 / person
                              :ARG0-of (c / consume-01)))
                  :mod (t2 / together)
                  :frequency (r / rate-entity-91
                        :ARG3 (t3 / temporal-quantity
                              :quant 1
                              :unit (d / day))))
            :ARG2 (s5 / situation)))"
"Batch #cooking for the most of the week.

I haven't panic bought, buying little as and when needed and just what we need for a basic meal.

Oh and some chocolate - plenty of that around!

#SundayThoughts 
#coronavirus 
#StopHoarding https://t.co/WNDM8qqXcY",Negative,I cook a batch of food at the beginning of the week so I don't have to cook every day.,"(c / cook-01
      :ARG0 (ii / i)
      :ARG1 (b / batch
            :consist-of (f / food))
      :time (b2 / begin-01
            :ARG1 (w / week))
      :purpose (o / obligate-01
            :polarity -
            :ARG1 ii
            :ARG2 (c2 / cook-01
                  :ARG0 ii
                  :frequency (r / rate-entity-91
                        :ARG3 (t / temporal-quantity
                              :quant 1
                              :unit (d / day))))))"
"Wondering why there are no eggs in the supermarket? It's because I bought them all to make this soufflÃ¨. 

Only through the consumption of aerated eggs can I overcome my COVID-19. #frenchfood #panicbuying #coronaÂ https://t.co/5jzm35PIhr",Negative,I bought all the eggs so there are none left in the supermarket.,"(b / buy-01
      :ARG0 (ii / i)
      :ARG1 (e / egg
            :mod (a / all))
      :ARG0-of (c / cause-01
            :ARG1 (l / leave-17
                  :ARG1 (e2 / egg
                        :quant (n / none))
                  :location (s / supermarket))))"
Shoppers pick through a nearly empty meat section as they stock up on supplies during the pandemic at a grocery store in San Francisco CA on March 16 2020 Photo by Terry Schmitt for,Negative, The Washington PostShoppers are seen picking through a nearly empty meat section as they stock up on supplies during the pandemic at a grocery store in San Francisco CA on March 16 2020.,"(s / see-01
      :ARG1 (p / pick-01
            :ARG0 (p2 / person
                  :ARG0-of (s2 / shop-01))
            :ARG1 (s3 / section
                  :mod (m / meat)
                  :ARG1-of (e / empty-02
                        :degree (n / near)))
            :time (s4 / stock-up-02
                  :ARG0 p2
                  :ARG1 (t / thing
                        :ARG1-of (s5 / supply-01))
                  :time (p3 / pandemic)
                  :location (s6 / store
                        :mod (g / grocery)
                        :location (c / city
                              :name (n2 / name
                                    :op1 ""San""
                                    :op2 ""Francisco"")
                              :location (s7 / state
                                    :name (n3 / name
                                          :op1 ""CA""))))))
      :time (d / date-entity
            :year 2020
            :month 3
            :day 16)
      :source (n4 / newspaper
            :name (n5 / name
                  :op1 ""The""
                  :op2 ""Washington""
                  :op3 ""Post"")))"
