AMR
"(m / multi-sentence
      :snt1 (t / turn-out-11
            :ARG1 (f / few
                  :op1 (t2 / temporal-quantity
                        :quant 1
                        :unit (y / year))
                  :ARG1-of (r / rough-04))
            :ARG2 (p / person
                  :ARG0-of (p2 / produce-01
                        :ARG1 (c / cattle))
                  :location (s / state
                        :name (n / name
                              :op1 ""Nebraska""))))
      :snt2 (a / and
            :op1 (c2 / cause-01
                  :ARG0 (f2 / flood-01
                        :time (d / date-entity
                              :year 2019))
                  :ARG1 (a2 / and
                        :op1 (d2 / die-01
                              :ARG1 (c3 / cattle))
                        :op2 (c4 / cost-01
                              :ARG1 p2)
                        :ARG1-of (ii / increase-01))))
      :op2 (s2 / show-01
            :ARG0 (d3 / date-entity
                  :year 2020)
            :ARG1 (a3 / and
                  :op1 (p3 / price-01
                        :ARG1 (c5 / cattle)
                        :ARG1-of (h / have-degree-91
                              :ARG2 (l / low-04
                                    :ARG1 p3)
                              :ARG3 (m2 / more)))
                  :op2 (u / up-02
                        :ARG1 (a4 / and
                              :op1 (f3 / feed-01)
                              :op2 (e / expend-01)))
                  :op3 (r2 / rise-01
                        :ARG1 (t3 / tax-01
                              :ARG3 (p4 / property))
                        :mod (m3 / most)))
            :time (n2 / now))
      :snt3 (a5 / and
            :op2 (l2 / law
                  :name (n3 / name
                        :op1 ""COVID-19"")
                  :time (n4 / now)))
      :snt4 (p5 / publication
            :name (n5 / name
                  :op1 ""https://t.co/gzmOMY0nS0"")))"
"(m / multi-sentence
      :snt1 (s / start-01
            :ARG0 (ii / i)
            :ARG1 (p / project
                  :name (n / name
                        :op1 ""COVID19""
                        :op2 ""Health""
                        :op3 ""Literacy""
                        :op4 ""Project""))
            :purpose (e / ensure-01
                  :ARG0 ii
                  :ARG1 (l / leave-12
                        :polarity -
                        :ARG1 (n2 / no-one)
                        :ARG2 (s2 / sideline
                              :poss (p2 / pandemic
                                    :mod (t / this))))))
      :snt2 (a / and
            :op1 (d / denounce-01
                  :ARG0 ii)
            :ARG1 (r / religious-group
                  :name (n3 / name
                        :op1 ""Christianity"")))
      :op2 (d2 / denounce-01
            :ARG0 ii
            :ARG1 r)
      :snt3 (t2 / translate-01
            :ARG1 (t3 / this)
            :ARG2 (l2 / language
                  :quant 37)))"
"(m / multi-sentence
      :snt1 (w / wash-01
            :mode imperative
            :ARG0 (y / you
                  :part (h / hand))
            :ARG1 h
            :ARG2 (a / and
                  :op1 (s / soap)
                  :op2 (w2 / water))
            :duration (a2 / at-least
                  :op1 (t / temporal-quantity
                        :quant 20
                        :unit (s2 / second)))
            :time (o / or
                  :op1 (a3 / after
                        :op1 (b / be-located-at-91
                              :ARG1 y
                              :ARG2 (p / place
                                    :ARG1-of (p2 / public-02)))
                        :mod (e / especially))
                  :op2 (a4 / after
                        :op1 (o2 / or
                              :op1 (b2 / blow-01
                                    :ARG0 y
                                    :ARG2 (n / nose))
                              :op2 (c / cough-01
                                    :ARG0 y)
                              :op3 (s3 / sneeze-01
                                    :ARG0 y)))))
      :snt2 (u / use-01
            :mode imperative
            :ARG0 y
            :ARG1 (p3 / product
                  :ARG0-of (s4 / sanitize-01
                        :ARG1 h)
                  :ARG0-of (c2 / contain-01
                        :ARG1 (a5 / alcohol
                              :quant (a6 / at-least
                                    :op1 (p4 / percentage-entity
                                          :value 60)))))
            :condition (a7 / available-02
                  :polarity -
                  :ARG2 (a8 / and
                        :op1 s
                        :op2 w2))))"
"(a / agree-01
      :ARG0 (a2 / and
            :op1 (o / organization
                  :name (n / name
                        :op1 ""OPEC""))
            :op2 (a3 / ally-01
                  :ARG2 o))
      :ARG1 (c / cut-02
            :ARG1 (o2 / output
                  :mod (o3 / oil))
            :ARG2 (r / rate-entity-91
                  :ARG1 (a4 / almost
                        :op1 (v / volume-quantity
                              :quant 10000000
                              :unit (b / barrel)))
                  :ARG2 (t / temporal-quantity
                        :quant 1
                        :unit (d / day)))
            :mod (r2 / record))
      :purpose (s / stabilize-01
            :ARG0 a2
            :ARG1 (p / price-01
                  :ARG1 o3)
            :time (a5 / and
                  :op1 (p2 / pandemic)
                  :op2 (w / war-01
                        :ARG2 (p3 / price-01)))))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Trump""))
            :ARG1 (h / have-03
